Column name	meta.xml	db column name	percentNULL	Comments	Priority	IBP tablename	Comment									
establishmentMeans	http://rs.tdwg.org/dwc/terms/establishmentMeans	establishmentmeans	0.965367		X											
verbatimElevation	http://rs.tdwg.org/dwc/terms/verbatimElevation	verbatimelevation	0.966867		X											
occurrenceRemarks	http://rs.tdwg.org/dwc/terms/occurrenceRemarks	occurrenceremarks	0.967833		X											
georeferenceProtocol	http://rs.tdwg.org/dwc/terms/georeferenceProtocol	georeferenceprotocol	0.968167		X											
informationWithheld	http://rs.tdwg.org/dwc/terms/informationWithheld	informationwithheld	0.974867	Required	X	informationWithheld										
dateIdentified	http://rs.tdwg.org/dwc/terms/dateIdentified	dateidentified	0.9763		X	dateIdentified										
associatedSequences	http://rs.tdwg.org/dwc/terms/associatedSequences	associatedsequences	0.9766		X											
georeferenceVerificationStatus	http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus	georeferenceverificationstatus	0.978567		X											
typeStatus	http://rs.tdwg.org/dwc/terms/typeStatus	typestatus	0.979167		X											
rightsHolder	http://purl.org/dc/terms/rightsHolder	rightsholder	0.9792		X											
datasetName	http://rs.tdwg.org/dwc/terms/datasetName	datasetname	0.9793		X											
fieldNumber	http://rs.tdwg.org/dwc/terms/fieldNumber	fieldnumber	0.9797		X											
georeferencedBy	http://rs.tdwg.org/dwc/terms/georeferencedBy	georeferencedby	0.980833		X											
datasetID	http://rs.tdwg.org/dwc/terms/datasetID	datasetid	0.9827		X											
locationRemarks	http://rs.tdwg.org/dwc/terms/locationRemarks	locationremarks	0.982733		X											
georeferencedDate	http://rs.tdwg.org/dwc/terms/georeferencedDate	georeferenceddate	0.9831		X											
georeferenceSources	http://rs.tdwg.org/dwc/terms/georeferenceSources	georeferencesources	0.984033		X											
depth	http://rs.gbif.org/terms/1.0/depth	depth	0.984367		X											
disposition	http://rs.tdwg.org/dwc/terms/disposition	disposition	0.986067		X											
verbatimCoordinateSystem	http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem	verbatimcoordinatesystem	0.986633		X											
taxonID	http://rs.tdwg.org/dwc/terms/taxonID	taxonid	0.9879		X											
elevationAccuracy	http://rs.gbif.org/terms/1.0/elevationAccuracy	elevationaccuracy	0.9888		X											
depthAccuracy	http://rs.gbif.org/terms/1.0/depthAccuracy	depthaccuracy	0.988833		X											
georeferenceRemarks	http://rs.tdwg.org/dwc/terms/georeferenceRemarks	georeferenceremarks	0.9899		X											
taxonRemarks	http://rs.tdwg.org/dwc/terms/taxonRemarks	taxonremarks	0.9904		X											
lifeStage	http://rs.tdwg.org/dwc/terms/lifeStage	lifestage	0.9906		X			Goodtohave								
habitat	http://rs.tdwg.org/dwc/terms/habitat	habitat	0.990867		X			Goodtohave								
created	http://purl.org/dc/terms/created	created	0.991533		X											
reproductiveCondition	http://rs.tdwg.org/dwc/terms/reproductiveCondition	reproductivecondition	0.993567		X											
previousIdentifications	http://rs.tdwg.org/dwc/terms/previousIdentifications	previousidentifications	0.993833		X											
waterBody	http://rs.tdwg.org/dwc/terms/waterBody	waterbody	0.994267		X											
coordinateAccuracy	http://rs.gbif.org/terms/1.0/coordinateAccuracy	coordinateaccuracy	0.9951		X											
fieldNotes	http://rs.tdwg.org/dwc/terms/fieldNotes	fieldnotes	0.995733		X											
bibliographicCitation	http://purl.org/dc/terms/bibliographicCitation	bibliographiccitation	0.9958		X											
samplingProtocol	http://rs.tdwg.org/dwc/terms/samplingProtocol	samplingprotocol	0.996		X											
identificationID	http://rs.tdwg.org/dwc/terms/identificationID	identificationid	0.996333		X											
eventRemarks	http://rs.tdwg.org/dwc/terms/eventRemarks	eventremarks	0.996567		X											
identificationRemarks	http://rs.tdwg.org/dwc/terms/identificationRemarks	identificationremarks	0.996567		X											
source	http://purl.org/dc/terms/source	source	0.996667		X											
locationID	http://rs.tdwg.org/dwc/terms/locationID	locationid	0.997467		X											
scientificNameID	http://rs.tdwg.org/dwc/terms/scientificNameID	scientificnameid	0.997567		X											
eventTime	http://rs.tdwg.org/dwc/terms/eventTime	eventtime	0.9979		X											
identificationQualifier	http://rs.tdwg.org/dwc/terms/identificationQualifier	identificationqualifier	0.998033		X											
eventID	http://rs.tdwg.org/dwc/terms/eventID	eventid	0.9981		X											
municipality	http://rs.tdwg.org/dwc/terms/municipality	municipality	0.9981		X											
identificationVerificationStatus	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus	identificationverificationstatus	0.998167		X											
identificationReferences	http://rs.tdwg.org/dwc/terms/identificationReferences	identificationreferences	0.9983		X											
typifiedName	http://rs.gbif.org/terms/1.0/typifiedName	typifiedname	0.998333		X											
associatedReferences	http://rs.tdwg.org/dwc/terms/associatedReferences	associatedreferences	0.998367		X											
earliestPeriodOrLowestSystem	http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem	earliestperiodorlowestsystem	0.998467		X											
associatedOccurrences	http://rs.tdwg.org/dwc/terms/associatedOccurrences	associatedres	0.998633		X											
earliestEraOrLowestErathem	http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem	earliesteraorlowesterathem	0.998833		X											
license	http://purl.org/dc/terms/license	license	0.998933		X											
earliestEpochOrLowestSeries	http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries	earliestepochorlowestseries	0.998933		X											
associatedTaxa	http://rs.tdwg.org/dwc/terms/associatedTaxa	associatedtaxa	0.998967		X											
island	http://rs.tdwg.org/dwc/terms/island	island	0.999033		X											
originalNameUsage	http://rs.tdwg.org/dwc/terms/originalNameUsage	originalnameusage	0.999033		X											
latestEraOrHighestErathem	http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem	latesteraorhighesterathem	0.999067		X											
locationAccordingTo	http://rs.tdwg.org/dwc/terms/locationAccordingTo	locationaccordingto	0.9991		X											
earliestEonOrLowestEonothem	http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem	earliesteonorlowesteonothem	0.999133		X											
latestEonOrHighestEonothem	http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem	latesteonorhighesteonothem	0.999133		X											
latestPeriodOrHighestSystem	http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem	latestperiodorhighestsystem	0.999133		X											
islandGroup	http://rs.tdwg.org/dwc/terms/islandGroup	islandgroup	0.999167		X											
behavior	http://rs.tdwg.org/dwc/terms/behavior	behavior	0.999267		X											
formation	http://rs.tdwg.org/dwc/terms/formation	formation	0.9995		X											
latestEpochOrHighestSeries	http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries	latestepochorhighestseries	0.999567		X											
earliestAgeOrLowestStage	http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage	earliestageorloweststage	0.999733		X											
latestAgeOrHighestStage	http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage	latestageorhigheststage	0.9998		X											
verbatimDepth	http://rs.tdwg.org/dwc/terms/verbatimDepth	verbatimdepth	0.9998		X											
geologicalContextID	http://rs.tdwg.org/dwc/terms/geologicalContextID	geologicalcontextid	0.9999		X											
bed	http://rs.tdwg.org/dwc/terms/bed	bed	0.999967		X											
group	http://rs.tdwg.org/dwc/terms/group	group1	0.999967		X											
individualID	http://rs.tdwg.org/dwc/terms/individualID	individualid	0.999967		X											
namePublishedIn	http://rs.tdwg.org/dwc/terms/namePublishedIn	namepublishedin	0.999967		X											
taxonomicStatus	http://rs.tdwg.org/dwc/terms/taxonomicStatus	taxonomicstatus	0.999967		X											
verbatimSRS	http://rs.tdwg.org/dwc/terms/verbatimSRS	verbatimsrs	0.999967		X											
abstract	http://purl.org/dc/terms/abstract	abstract	1		X											
accrualMethod	http://purl.org/dc/terms/accrualMethod	accrualmethod	1		X											
accrualPeriodicity	http://purl.org/dc/terms/accrualPeriodicity	accrualperiodicity	1		X											
accrualPolicy	http://purl.org/dc/terms/accrualPolicy	accrualpolicy	1		X											
alternative	http://purl.org/dc/terms/alternative	alternative	1		X											
audience	http://purl.org/dc/terms/audience	audience	1		X											
available	http://purl.org/dc/terms/available	available	1		X											
conformsTo	http://purl.org/dc/terms/conformsTo	conformsto	1		X											
contributor	http://purl.org/dc/terms/contributor	contributor	1		X											
coverage	http://purl.org/dc/terms/coverage	coverage	1		X											
creator	http://purl.org/dc/terms/creator	creator	1		X											
date	http://purl.org/dc/terms/date	date	1		X											
dateAccepted	http://purl.org/dc/terms/dateAccepted	dateaccepted	1		X											
dateCopyrighted	http://purl.org/dc/terms/dateCopyrighted	datecopyrighted	1		X											
dateSubmitted	http://purl.org/dc/terms/dateSubmitted	datesubmitted	1		X											
description	http://purl.org/dc/terms/description	description	1		X											
educationLevel	http://purl.org/dc/terms/educationLevel	educationlevel	1		X											
extent	http://purl.org/dc/terms/extent	extent	1		X											
format	http://purl.org/dc/terms/format	format	1		X											
hasFormat	http://purl.org/dc/terms/hasFormat	hasformat	1		X											
hasPart	http://purl.org/dc/terms/hasPart	haspart	1		X											
hasVersion	http://purl.org/dc/terms/hasVersion	hasversion	1		X											
instructionalMethod	http://purl.org/dc/terms/instructionalMethod	instructionalmethod	1		X											
isFormatOf	http://purl.org/dc/terms/isFormatOf	isformatof	1		X											
isPartOf	http://purl.org/dc/terms/isPartOf	ispartof	1		X											
isReferencedBy	http://purl.org/dc/terms/isReferencedBy	isreferencedby	1		X											
isReplacedBy	http://purl.org/dc/terms/isReplacedBy	isreplacedby	1		X											
isRequiredBy	http://purl.org/dc/terms/isRequiredBy	isrequiredby	1		X											
isVersionOf	http://purl.org/dc/terms/isVersionOf	isversionof	1		X											
issued	http://purl.org/dc/terms/issued	issued	1		X											
mediator	http://purl.org/dc/terms/mediator	mediator	1		X											
medium	http://purl.org/dc/terms/medium	medium	1		X											
provenance	http://purl.org/dc/terms/provenance	provenance	1		X											
publisher	http://purl.org/dc/terms/publisher	publisher	1		X											
relation	http://purl.org/dc/terms/relation	relation	1		X											
replaces	http://purl.org/dc/terms/replaces	replaces	1		X											
requires	http://purl.org/dc/terms/requires	requires	1		X											
spatial	http://purl.org/dc/terms/spatial	spatial	1		X											
subject	http://purl.org/dc/terms/subject	subject	1		X											
tableOfContents	http://purl.org/dc/terms/tableOfContents	tableofcontents	1		X											
temporal	http://purl.org/dc/terms/temporal	temporal	1		X											
title	http://purl.org/dc/terms/title	title	1		X											
valid	http://purl.org/dc/terms/valid	valid	1		X											
acceptedNameUsage	http://rs.tdwg.org/dwc/terms/acceptedNameUsage	acceptednameusage	1		X											
acceptedNameUsageID	http://rs.tdwg.org/dwc/terms/acceptedNameUsageID	acceptednameusageid	1		X											
dataGeneralizations	http://rs.tdwg.org/dwc/terms/dataGeneralizations	datageneralizations	1		X											
footprintSRS	http://rs.tdwg.org/dwc/terms/footprintSRS	footprintsrs	1		X											
footprintSpatialFit	http://rs.tdwg.org/dwc/terms/footprintSpatialFit	footprintspatialfit	1		X											
footprintWKT	http://rs.tdwg.org/dwc/terms/footprintWKT	footprintwkt	1		X											
higherGeographyID	http://rs.tdwg.org/dwc/terms/higherGeographyID	highergeographyid	1		X											
highestBiostratigraphicZone	http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone	highestbiostratigraphiczone	1		X											
individualCount	http://rs.tdwg.org/dwc/terms/individualCount	individualcount	1		X											
lithostratigraphicTerms	http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms	lithostratigraphicterms	1		X											
lowestBiostratigraphicZone	http://rs.tdwg.org/dwc/terms/lowestBiostratigraphicZone	lowestbiostratigraphiczone	1		X											
